"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight","up_down"
"OCSTAMP",2.23988975659197,1.20418899065771,0.307673696752003,3.91385095108838,9.0835718068647e-05,0.0123586818675505,1.74461621867974,"up"
"RP11-236L14.1",2.52474474117241,1.45717442965886,0.372399707519128,3.91293118720834,9.1182524429341e-05,0.0123586818675505,1.74461621867974,"up"
"OR13Z2P",1.9807642157114,1.35149386971475,0.345830701590109,3.90796382016015,9.30772399588049e-05,0.0125767951425028,1.73564779609268,"up"
"RP11-495K9.6",1.78887164116536,2.18406878593877,0.558992359121641,3.90715320218447,9.33899431430913e-05,0.0130315951170967,1.63407311896014,"up"
"RAB15",2358.983041738,0.604990283600397,0.1550543294868,3.90179549066961,9.54818121553323e-05,0.0309748949116539,0.470066330603977,"up"
"SUSD5",170.507399345276,0.688219390270705,0.176423736945047,3.90094554274787,9.58177054315238e-05,0.00802613338736061,3.5232534993216,"up"
"PEG10",5159.47289574718,1.0657525731827,0.273689237213095,3.89402441994057,9.85947178240192e-05,0.0312903484973385,0.474760708009799,"up"
"LINC02571",3.80632882112317,1.43003278026782,0.367560389193677,3.89060633928729,9.99940435390812e-05,0.0130315951170967,1.74461621867974,"up"
"RCN3",2240.11527370604,0.618383873298893,0.159137202780505,3.88585360616033,0.00010197094539811,0.0354295418710132,0.418619337818074,"up"
"CCKBR",11.4736860199691,1.65840397084098,0.427337009056894,3.88078714385393,0.000104118936904117,0.0113513189086419,2.27180966890904,"up"
"RP11-693J15.6",4.24062012794558,1.9793568547672,0.511518895090845,3.86956742705599,0.000109028625941188,0.0115511758781859,2.29753316530199,"up"
"MIR137HG",11.4732117503342,1.77442501577807,0.458788174416778,3.86763459636631,0.000109896173291094,0.0154055393227207,1.49577483009383,"up"
"DCT",13.1611056414837,0.867870121163454,0.22504833682444,3.85637207281598,0.000115082280212718,0.0157797699773763,1.49577483009383,"up"
"LINC02323",26.9441147911341,0.876010359389082,0.227210723275055,3.85549742882781,0.000115494544616387,0.0120701664811571,2.2998803540049,"up"
"DPYD-AS1",25.2191967382983,1.39267192091399,0.361715086773821,3.8501903067837,0.000118026082403581,0.0122888169474757,2.29753316530199,"up"
"CBLN4",48.1453527486846,1.01948201019768,0.265022964519399,3.84676856983484,0.000119685923665159,0.00864219815230957,3.94931629578788,"up"
"RALGAPA1P1",97.5688284579444,0.517403911262473,0.134893263851105,3.83565417939316,0.000125230515535801,0.0126784152815999,2.29753316530199,"up"
"RP11-305L7.1",38.2318552574917,0.791340099306444,0.206726347380852,3.82795956747863,0.000129209975233361,0.0130315951170967,2.27180966890904,"up"
"RAX",4.40991343667388,1.77717839703948,0.46429908937906,3.82765858838152,0.000129368030320786,0.0130315951170967,2.29753316530199,"up"
"ARHGAP36",4.9406598131562,1.84271499654704,0.481769389957132,3.82489015483322,0.000130830405798545,0.0130315951170967,2.2998803540049,"up"
"RP11-153M7.3",54.0809517010831,0.833162651508292,0.217935015554383,3.82298663383162,0.000131844929143283,0.0131359943244733,2.27180966890904,"up"
"RP11-76I7.1",3.40303212820502,1.69455787163786,0.443695131030036,3.81919420144177,0.000133888326291846,0.0144926592010448,2.00131310576831,"up"
"ZNF300P1",43.6602709920122,0.70209146104566,0.183854149473867,3.81874144834276,0.00013413425787013,0.00992005473313071,3.62801028336934,"up"
"TTR",15.7660801941826,1.83561410914158,0.481425197643609,3.81287501802192,0.00013735958203489,0.0134442781018605,2.27180966890904,"up"
"ZNF98",8.25393601035677,1.52703317550894,0.401254042089508,3.80565181987203,0.000141431227510478,0.013662238381814,2.27180966890904,"up"
"MUC22",29.4750382708665,1.26242501775204,0.331834081923071,3.8043862475968,0.000142156218765417,0.013662238381814,2.2998803540049,"up"
"RP11-397O8.7",2.81948693879082,0.951483737441977,0.250148496854164,3.80367561431597,0.000142564842621361,0.0154055393227207,1.93818316586726,"up"
"NR2E1",18.8031971759531,1.29858196195433,0.341624127519816,3.80120096136653,0.000143996451723302,0.0101693544000889,3.62801028336934,"up"
"ITPKA",540.353804727902,1.06592633932872,0.280520149841401,3.79982093953453,0.000144800675732848,0.031084123294047,0.708223298302229,"up"
"SPX",42.6145547499984,1.06417765306964,0.280269448946873,3.7969805737598,0.000146469262671783,0.00992005473313071,3.94931629578788,"up"
"LA16c-312E8.4",30.8397686942026,0.986795198234785,0.260102343203976,3.79387277361407,0.000148315690060249,0.010421487806017,3.62801028336934,"up"
"NOS3",990.737108769638,0.77705939041175,0.205118644525805,3.78834109501923,0.000151656543833358,0.0426299647964098,0.470066330603977,"up"
"ZNF208",39.9364282406076,0.932364675084057,0.246131180416117,3.78808029729421,0.000151815788042727,0.010043519156145,3.94931629578788,"up"
"KIF5A",97.4272896213597,0.834556089956686,0.220316272194345,3.78799115310244,0.000151870255956709,0.0144288536746044,2.2998803540049,"up"
"MTX1P1",138.389205761282,0.405223343123726,0.10697798930157,3.78791324990607,0.000151917870582237,0.010827925089898,3.5232534993216,"up"
"ST7-OT4",7.48170109768648,0.723362236724301,0.191488270799622,3.77757986796615,0.000158359728496113,0.0193125971626798,1.57971631346626,"up"
"CD8B2",13.137792674491,1.40893379538225,0.373343567351418,3.77382635886174,0.000160762675425341,0.0150802015286694,2.29753316530199,"up"
"MTTP",33.5800065400603,0.800100952856821,0.212151044730582,3.77137408808379,0.000162351072633051,0.0152198790199298,2.27180966890904,"up"
"RP11-117L5.1",2.67595715295026,1.41683352779758,0.375759831315613,3.77058272257829,0.000162866803547531,0.0168988933789617,1.93818316586726,"up"
"NR1H4",8.07239230377827,1.54166138701249,0.408892572117911,3.77033355980829,0.000163029501111396,0.0151763989648881,2.29753316530199,"up"
"RP11-47P18.1",2.77344851349786,2.41006461221859,0.640170328214566,3.76472402109023,0.000166733130013422,0.0154055393227207,2.27180966890904,"up"
"TRPM8",156.932453547528,1.18888743420739,0.315919132695855,3.76326506110018,0.000167709280505048,0.0115511758781859,3.5232534993216,"up"
"NSMF",2723.43318702897,0.410229397525635,0.109151723539699,3.75834099748715,0.000171043676725082,0.0456875798021805,0.470066330603977,"up"
